表4－1  學生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
學校名稱：0008 中央大學             ,,,,  中華民國        九十八        學年度,,,,,,,,,,,,,,,,
學年報：根據03月10日資料統計,,,,,,,,,,,,,,,,,,,單位：人,
院   系（科）所   別,,共                      計,,,一  年  級,,二  年  級,,三  年  級,,四  年  級,,五  年  級,,六  年  級,,七  年  級,,延  修  生,
,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
大學部共計,,5884,3853,2031,1009,519,938,518,871,517,829,444,,,,,,,206,33
文學院,,628,97,531,21,150,22,134,19,131,29,101,,,,,,,6,15
    中國文學系,  ,215,27,188,5,56,6,45,4,48,9,33,,,,,,,3,6
    英美語文學系,  ,221,42,179,9,49,10,45,7,47,15,32,,,,,,,1,6
    法國語文學系,  ,192,28,164,7,45,6,44,8,36,5,36,,,,,,,2,3
理學院,,1042,803,239,210,66,201,57,180,59,158,55,,,,,,,54,2
    數學系,  ,270,217,53,54,15,56,11,45,16,37,10,,,,,,,25,1
    物理學系,  ,221,197,24,46,7,46,5,50,4,41,8,,,,,,,14,
    化學學系,  ,185,123,62,27,19,27,15,29,14,30,13,,,,,,,10,1
    生命科學系,  ,168,97,71,27,15,20,20,19,20,26,16,,,,,,,5,
    物理與地球科學系,  ,0,0,0,,,,,,,0,0,,,,,,,,
    光電科學與工程學系,  ,166,142,24,39,6,42,5,37,5,24,8,,,,,,,,
    理學院學士班,  ,32,27,5,17,4,10,1,,,0,0,,,,,,,,
    地球科學學系,  ,0,0,0,,,,,,,0,0,,,,,,,,
    地球物理學系,  ,0,0,0,,,,,,,0,0,,,,,,,,
    大氣科學系(不要用),  ,0,0,0,,,,,,,0,0,,,,,,,,
    大氣物理學系(不要用),  ,0,0,0,,,,,,,0,0,,,,,,,,
工學院,,1231,1019,212,284,53,243,57,234,50,206,49,,,,,,,52,3
    化學工程學系,  ,0,0,0,,,,,,,0,0,,,,,,,,
    土木工程學系,  ,391,315,76,91,22,82,17,72,17,58,17,,,,,,,12,3
    機械工程學系,  ,621,549,72,153,14,125,24,124,22,116,12,,,,,,,31,
    化學工程與材料工程學系,  ,219,155,64,40,17,36,16,38,11,32,20,,,,,,,9,
    資訊工程學系(不要用),  ,0,0,0,,,,,,,0,0,,,,,,,,
    電機工程學系(不要用),  ,0,0,0,,,,,,,0,0,,,,,,,,
管理學院,,1387,632,755,164,183,159,182,148,194,134,188,,,,,,,27,8
    企業管理學系,  ,467,170,297,46,71,43,73,44,75,29,75,,,,,,,8,3
    資訊管理學系,  ,415,239,176,57,50,66,40,52,47,54,39,,,,,,,10,
    財務管理學系,  ,0,0,0,,,,,,,0,0,,,,,,,,
    財務金融學系,  ,259,111,148,27,34,28,35,27,36,23,42,,,,,,,6,1
    經濟學系,  ,246,112,134,34,28,22,34,25,36,28,32,,,,,,,3,4
資訊電機學院,,1114,951,163,220,41,232,46,217,48,231,25,,,,,,,51,3
    電機工程學系,  ,458,407,51,89,15,97,17,93,12,104,7,,,,,,,24,
    資訊工程學系,  ,435,358,77,86,20,92,19,80,24,83,12,,,,,,,17,2
    通訊工程學系,  ,221,186,35,45,6,43,10,44,12,44,6,,,,,,,10,1
地球科學學院,,482,351,131,110,26,81,42,73,35,71,26,,,,,,,16,2
    大氣科學學系,  ,269,205,64,67,11,43,22,45,18,42,13,,,,,,,8,
    地球科學學系,  ,213,146,67,43,15,38,20,28,17,29,13,,,,,,,8,2
客家學院,,0,0,0,,,,,,,0,0,,,,,,,,
太空及遙測研究中心,,0,0,0,,,,,,,0,0,,,,,,,,
校長：,,主辦業務人員：,,,,,,審核：,,,,,,填表：,,,中華民國99年03月10日編報,,,
,,主辦統計人員：,,,,,,,,,,,,,,聯絡電話：（03）4227151＃7121,,,,
