表3-1 班級數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,本表以981015資料為準，同報教育部統計資料,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
98,0008,國立中央大學,D,M,220103,    客家語文研究所碩士班,4,1,1,1,1,0,0,0
98,0008,國立中央大學,D,M,310403,    客家政治經濟研究所碩士班,4,1,1,1,1,0,0,0
98,0008,國立中央大學,D,M,380103,    法律與政府研究所碩士班,4,1,1,1,1,0,0,0
98,0008,國立中央大學,D,,SUBT3,碩士在職專班           共計,97,22,22,20,18,15,0,0
98,0008,國立中央大學,V,M,220201,    中國文學系碩士在職專班,5,1,1,1,1,1,0,0
98,0008,國立中央大學,V,M,221101,    哲學研究所碩士在職專班,5,1,1,1,1,1,0,0
98,0008,國立中央大學,V,M,220901,    歷史研究所碩士在職專班,5,1,1,1,1,1,0,0
98,0008,國立中央大學,V,M,520106,    光電科學與工程學系碩士在職專班,5,1,1,1,1,1,0,0
98,0008,國立中央大學,V,M,520301,    土木工程學系碩士在職專班,5,1,1,1,1,1,0,0
98,0008,國立中央大學,V,M,520201,    機械工程學系碩士在職專班,5,1,1,1,1,1,0,0
98,0008,國立中央大學,V,M,349927,    營建管理研究所碩士在職專班,3,1,1,1,0,0,0,0
98,0008,國立中央大學,V,M,520901,    環境工程研究所碩士在職專班,9,2,2,2,2,1,0,0
98,0008,國立中央大學,V,M,520911,    國際永續發展碩士在職專班,2,1,1,0,0,0,0,0
98,0008,國立中央大學,V,M,349939,    管理學院高階主管企管碩士班,10,2,2,2,2,2,0,0
98,0008,國立中央大學,V,M,340301,    企業管理學系碩士在職專班,5,1,1,1,1,1,0,0
98,0008,國立中央大學,V,M,480109,    資訊管理學系碩士在職專班,2,1,1,0,0,0,0,0
98,0008,國立中央大學,V,M,310104,    產業經濟研究所碩士在職專班,5,1,1,1,1,1,0,0
98,0008,國立中央大學,V,M,349906,    工業管理研究所碩士在職專班,5,1,1,1,1,1,0,0
98,0008,國立中央大學,V,M,349919,    人力資源管理研究所碩士在職專班,3,1,1,1,0,0,0,0
98,0008,國立中央大學,V,M,340501,    財務金融學系碩士在職專班,4,1,1,1,1,0,0,0
98,0008,國立中央大學,V,M,520101,    電機工程學系碩士在職專班,5,1,1,1,1,1,0,0
98,0008,國立中央大學,V,M,520114,    資訊工程學系碩士在職專班,5,1,1,1,1,1,0,0
98,0008,國立中央大學,V,M,520126,    通訊工程學系碩士在職專班,5,1,1,1,1,1,0,0
98,0008,國立中央大學,V,M,310403,    客家研究碩士在職專班,4,1,1,1,1,0,0,0
98,0008,國立中央大學,D,,SUBT4,博士班           共計,199,35,33,31,29,27,23,21
98,0008,國立中央大學,D,D,220201,    中國文學系博士班,7,1,1,1,1,1,1,1
98,0008,國立中央大學,D,D,221101,    哲學研究所博士班,7,1,1,1,1,1,1,1
98,0008,國立中央大學,D,D,140111,    學習與教學研究所博士班,3,1,1,1,0,0,0,0
98,0008,國立中央大學,D,D,460101,    數學系博士班,6,1,1,1,1,1,1,0
98,0008,國立中央大學,D,D,440301,    物理學系博士班,7,1,1,1,1,1,1,1
98,0008,國立中央大學,D,D,440101,    化學學系博士班,7,1,1,1,1,1,1,1
98,0008,國立中央大學,D,D,420103,    生命科學系博士班,5,1,1,1,1,1,0,0
98,0008,國立中央大學,D,D,460201,    統計研究所博士班,7,1,1,1,1,1,1,1
98,0008,國立中央大學,D,D,520106,    光電科學與工程學系博士班,7,1,1,1,1,1,1,1
98,0008,國立中央大學,D,D,440601,    天文研究所博士班,7,1,1,1,1,1,1,1
98,0008,國立中央大學,D,D,420611,    系統生物與生物資訊研究所博士班,4,1,1,1,1,0,0,0
98,0008,國立中央大學,D,D,520301,    土木工程學系博士班,7,1,1,1,1,1,1,1
98,0008,國立中央大學,D,D,520201,    機械工程學系博士班,7,1,1,1,1,1,1,1
98,0008,國立中央大學,D,D,520403,    化學工程與材料工程學系博士班,7,1,1,1,1,1,1,1
98,0008,國立中央大學,D,D,349927,    營建管理研究所博士班,4,1,1,1,1,0,0,0
98,0008,國立中央大學,D,D,520901,    環境工程研究所博士班,6,1,1,1,1,1,0,1
98,0008,國立中央大學,D,D,520229,    光機電工程研究所博士班,1,1,0,0,0,0,0,0
98,0008,國立中央大學,D,D,520502,    材料科學與工程研究所博士班,2,1,1,0,0,0,0,0
98,0008,國立中央大學,D,D,340301,    企業管理學系博士班,7,1,1,1,1,1,1,1
98,0008,國立中央大學,D,D,480109,    資訊管理學系博士班,7,1,1,1,1,1,1,1
98,0008,國立中央大學,D,D,310104,    產業經濟研究所博士班,7,1,1,1,1,1,1,1
98,0008,國立中央大學,D,D,349906,    工業管理研究所博士班,7,1,1,1,1,1,1,1
98,0008,國立中央大學,D,D,349919,    人力資源管理研究所博士班,7,1,1,1,1,1,1,1
98,0008,國立中央大學,D,D,340501,    財務金融學系博士班,6,1,1,1,1,1,1,0
98,0008,國立中央大學,D,D,310101,    經濟學系博士班,5,1,1,1,1,1,0,0
98,0008,國立中央大學,D,D,520101,    電機工程學系博士班,7,1,1,1,1,1,1,1
98,0008,國立中央大學,D,D,520114,    資訊工程學系博士班,7,1,1,1,1,1,1,1
98,0008,國立中央大學,D,D,520126,    通訊工程學系博士班,6,1,1,1,1,1,1,0
98,0008,國立中央大學,D,D,140805,    網路學習科技研究所博士班,4,1,1,1,1,0,0,0
98,0008,國立中央大學,D,D,440402,    大氣物理研究所博士班,7,1,1,1,1,1,1,1
98,0008,國立中央大學,D,D,440209,    地球物理研究所博士班,7,1,1,1,1,1,1,1
98,0008,國立中央大學,D,D,440603,    太空科學研究所博士班,7,1,1,1,1,1,1,1
98,0008,國立中央大學,D,D,440204,    應用地質研究所博士班,3,1,1,0,0,1,0,0
98,0008,國立中央大學,D,D,440207,    水文與海洋科學研究所博士班,3,1,1,1,0,0,0,0
98,0008,國立中央大學,D,D,440213,    地球系統科學國際研究生博士學位學程,1,1,0,0,0,0,0,0
98,0008,國立中央大學,D,,SUBT5,產業研發碩士專班           共計,3,0,1,1,1,0,0,0
98,0008,國立中央大學,D,M,520188,    光電科學與工程學系光電產業研發碩士專班,1,0,0,0,1,0,0,0
98,0008,國立中央大學,D,M,520188,    光電科學與工程學系光電顯示產業研發碩士專班,1,0,0,1,0,0,0,0
98,0008,國立中央大學,D,M,520188,    資電學院嵌入式系統產業研發碩士外國學生專班,1,0,1,0,0,0,0, 
,,,,,,,,,,,,,,
 承辦人,,,註冊組組長,,,,,教務長,,,,,,
