1102「學分學程(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
光電科學與工程學系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,2,,,,,,6
理學院學士班,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,4
統計研究所碩士班,,,,,,,,,,4,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,15
土木工程學系,,3,1,,,,1,,,,,,,,,,2,,,,,,,3,,,1,,64,,,,,,,,,,,75
機械工程學系,1,2,,,,,,,,,,,,,,,1,,,,,,,1,2,,2,,80,,1,,,,,,,,,90
化學工程與材料工程學系,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,5,,,,,,,,,,,7
工學院學士班,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,1,,,,,,,,,,,41
土木工程學系碩士班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2
企業管理學系,,18,40,95,,,1,,,1,,,42,1,,,4,,,18,,,,,1,3,,7,,29,,,4,,8,,,,,272
資訊管理學系,,8,7,23,,,,,,,,,16,,,,1,,,13,,,,1,13,1,,,,14,,1,6,,,,,,,104
財務金融學系,1,2,51,5,1,,,,,,,,2,,,,1,,,7,,,,1,,1,,,,23,,,4,1,,,,,,100
經濟學系,3,11,21,4,,,,,,2,,,4,,,,1,1,,12,,,,1,,,,,,2,,,,,,,,,,62
企業管理學系碩士班,,,,47,,,,,,,6,,,,,1,,,,25,,,,,,,,,,,,,,,,,,,,79
資訊管理學系碩士班,,,,9,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,16
產業經濟研究所碩士班,,2,,4,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,9
工業管理研究所碩士班,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
財務金融學系碩士班,,,,,,,,,,4,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,7
經濟學系碩士班,,,,11,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,23
會計研究所碩士班,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
工業管理研究所碩士在職專班,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
企業管理學系博士班,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
電機工程學系,,,,,,1,,,,,,,,,,,3,,,,,,,3,1,,1,,14,,,,,,,,,,,23
資訊工程學系,,5,1,,1,,,,,,,,1,,,,1,,,,,,,3,5,,,,9,,,,1,,,,,,,27
通訊工程學系,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,4,,1,,,,,,,,,6
資訊電機學院學士班,,,,,,,,,,,,,,,,,89,,,,,,,,1,,,,2,,,,,,,,,,,92
大氣科學學系,1,1,,1,32,32,,,5,,,,1,,,,2,,30,,,,,,,,9,,17,,,,,,,,,,,131
地球科學學系,,,,,33,2,,,3,,,,,,,,,,12,,,,,1,,,2,,4,,,,,,,,,,,57
地球科學學院學士班,,1,,,1,1,,,1,,,,,,,,,,1,,,,,5,,,1,,6,,,,,,,,,,,17
太空科學與工程學系,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,6,,,,,,,,,,,9
客家語文暨社會科學學系,1,2,,,,,1,,,,,,,2,,,,,,,,,2,3,,1,,1,,16,,1,,,1,,,,,31
客家語文暨社會科學學系客家政治經濟碩士班,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
生命科學系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,17
生醫科學與工程學系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,23
總合,24,82,133,233,68,37,20,,11,11,6,4,78,25,1,1,115,5,43,104,,11,2,70,30,11,19,27,270,104,2,4,16,6,10,,,,,1583
