991「學分學程(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46
數學系,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
物理學系,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,10
化學學系,,,,,,3,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,5
生命科學系,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,1,4
光電科學與工程學系,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
數學系碩士班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
統計研究所碩士班,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,6
統計研究所博士班,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
土木工程學系,,1,,,,,,,1,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,7
機械工程學系,3,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,2,,,,1,,,,,,,,1,,,,,10
化學工程與材料工程學系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
光機電工程研究所碩士班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2
能源工程研究所碩士班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,6
機械工程學系博士班,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,4
企業管理學系,,7,25,5,,,,,,,,,130,,,,1,,,1,,,,,,,,,1,,,,1,,,,1,11,,,,3,,,1,187
資訊管理學系,,3,9,,,,,,,,,,133,,,1,,,,1,,,,,,,,,1,,,,47,,,6,,2,,,,,,1,,204
財務金融學系,,,56,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
經濟學系,,2,1,1,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,9
企業管理學系碩士班,,,,,,,,,,,,,61,,,,,,,,,,,,,6,,,,,,,,,,,,1,,,,1,,,,69
資訊管理學系碩士班,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
工業管理研究所碩士班,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
財務金融學系碩士班,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
會計研究所碩士班,,,1,,,,,,,,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
工業管理研究所碩士在職專班,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
資訊管理學系博士班,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
工業管理研究所博士班,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
電機工程學系,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,6
資訊工程學系,1,,,,,,,,,,,1,,,,2,5,,,,,,,,,,,,1,1,,,,,,6,,,,,,,,,,17
通訊工程學系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15
資訊工程學系碩士班,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,3
資訊工程學系博士班,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
大氣科學學系,,1,,,,,,,,1,,,,4,,,,32,65,,,2,7,,,,,,1,,,,,,,,,,,,,,,,,113
地球科學學系,,1,,,,,,,,,,,,1,,,,36,20,,,,,,,,,,,,,,,,,,,,,,,,,1,,59
客家政治經濟研究所碩士班,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3
總合,26,20,93,11,,4,,,1,1,2,2,370,7,,7,8,68,85,23,6,4,17,3,8,6,,,15,1,,1,51,1,1,15,36,15,2,6,13,4,3,4,19,959
